image_name,colour_rank,hex,red,green,blue,lab_l,lab_a,lab_b
sea_031.jpg,1,#6A96BA,106,150,186,60.4,-5.61,-23.41
sea_031.jpg,2,#5688AD,86,136,173,54.64,-6.37,-24.52
sea_031.jpg,3,#7EA6C7,126,166,199,66.29,-5.01,-21.62
sea_031.jpg,4,#AEC3DD,174,195,221,78.09,-1.49,-15.33
sea_031.jpg,5,#41799E,65,121,158,48.62,-7.2,-25.57
sea_031.jpg,6,#97B1CF,151,177,207,71.26,-2.27,-18.12
sea_031.jpg,7,#29698B,41,105,139,42.03,-9.02,-24.39
sea_031.jpg,8,#215D86,33,93,134,37.59,-4.35,-28.56
sea_031.jpg,9,#0B506D,11,80,109,31.51,-8.41,-22.72
sea_031.jpg,10,#053657,5,54,87,21.44,-1.28,-24.45
sea_032.jpg,1,#98B5CC,152,181,204,72.17,-4.41,-15.23
sea_032.jpg,2,#84A3BF,132,163,191,65.76,-4.14,-17.57
sea_032.jpg,3,#283D43,40,61,67,24.19,-6.12,-6.67
sea_032.jpg,4,#7091B0,112,145,176,58.7,-3.52,-20.25
sea_032.jpg,5,#ACC6DA,172,198,218,78.72,-4.49,-12.74
sea_032.jpg,6,#577995,87,121,149,49.33,-4.23,-19.19
sea_032.jpg,7,#39515B,57,81,91,33.02,-6.52,-8.75
sea_032.jpg,8,#6C8B9E,108,139,158,56.07,-5.99,-13.89
sea_032.jpg,9,#516D7A,81,109,122,44.27,-6.64,-10.49
sea_032.jpg,10,#415F75,65,95,117,38.74,-4.48,-16.1
sea_033.jpg,1,#0D6372,13,99,114,38.2,-17.59,-15.49
sea_033.jpg,2,#43B9BD,67,185,189,69.02,-30.84,-11.81
sea_033.jpg,3,#024B56,2,75,86,28.76,-15.59,-12.22
sea_033.jpg,4,#5FCDD4,95,205,212,76.66,-29.67,-12.77
sea_033.jpg,5,#34A3AC,52,163,172,61.64,-27.67,-13.69
sea_033.jpg,6,#1B798A,27,121,138,46.57,-19.78,-17.0
sea_033.jpg,7,#106D74,16,109,116,41.78,-22.42,-10.94
sea_033.jpg,8,#1F8990,31,137,144,52.19,-26.13,-11.83
sea_033.jpg,9,#2B90A2,43,144,162,55.14,-22.25,-17.71
sea_033.jpg,10,#7AE6EA,122,230,234,85.43,-30.2,-11.67
sea_034.jpg,1,#2C5B93,44,91,147,38.07,3.11,-35.32
sea_034.jpg,2,#1E4A7D,30,74,125,30.84,4.0,-33.3
sea_034.jpg,3,#275582,39,85,130,35.07,0.19,-30.03
sea_034.jpg,4,#366698,54,102,152,42.11,0.07,-32.08
sea_034.jpg,5,#19426A,25,66,106,27.11,0.95,-27.6
sea_034.jpg,6,#0F3460,15,52,96,21.44,4.97,-29.9
sea_034.jpg,7,#0D314F,13,49,79,19.55,-0.83,-21.8
sea_034.jpg,8,#103647,16,54,71,20.69,-6.5,-14.6
sea_034.jpg,9,#1D4964,29,73,100,29.38,-5.5,-20.27
sea_034.jpg,10,#3C4C59,60,76,89,31.36,-2.74,-9.78
sea_035.jpg,1,#40657E,64,101,126,41.03,-5.59,-18.23
sea_035.jpg,2,#31576E,49,87,110,35.05,-6.27,-17.22
sea_035.jpg,3,#23485C,35,72,92,28.91,-6.68,-15.59
sea_035.jpg,4,#4D7490,77,116,144,47.18,-5.92,-19.29
sea_035.jpg,5,#7C95AC,124,149,172,60.56,-3.21,-14.9
sea_035.jpg,6,#6587A2,101,135,162,54.8,-5.09,-18.13
sea_035.jpg,7,#153645,21,54,69,20.81,-6.46,-12.86
sea_035.jpg,8,#93A8BD,147,168,189,67.84,-2.42,-13.24
sea_035.jpg,9,#637B92,99,123,146,50.41,-2.8,-15.35
sea_035.jpg,10,#1D414A,29,65,74,25.28,-9.49,-9.84
sea_036.jpg,1,#08668D,8,102,141,40.28,-9.67,-28.25
sea_036.jpg,2,#065175,6,81,117,32.42,-6.73,-26.16
sea_036.jpg,3,#052D44,5,45,68,17.07,-3.85,-17.95
